"proj_id","proj_age_quarter","ci_age_month","Date","proj_age","n_pr_open","n_pr_core","n_pr_merged","n_pr_unmerged","n_core_merged","n_core_unmerged","n_issue_open","n_issue_proj_closed","team_size","test_files","test_loc","src_files","src_loc","n_star","n_fork"
10040,10,-9,"00:00.0",28,5,0,2,3,0,0,13,0,1,39,17446,49,5728,794,248
10040,10,-8,"00:00.0",29,7,0,3,4,0,0,19,2,1,39,17446,49,5728,794,248
10040,10,-7,"00:00.0",30,8,0,5,3,0,0,10,2,2,39,17446,49,5728,794,248
10040,11,-5,"00:00.0",32,4,0,2,2,0,0,29,24,1,39,17449,49,5741,932,324
10040,11,-6,"00:00.0",31,10,0,2,8,0,0,25,18,1,39,17449,49,5741,932,324
10040,11,-4,"00:00.0",33,5,0,1,4,0,0,32,15,1,39,17449,49,5741,932,324
10040,12,-1,"00:00.0",36,6,0,0,6,0,0,41,32,1,44,18867,51,6166,973,393
10040,12,-2,"00:00.0",35,1,0,0,1,0,0,41,66,1,44,18867,51,6166,973,393
10040,12,-3,"00:00.0",34,8,1,6,2,1,0,42,10,2,44,18867,51,6166,973,393
10040,13,1,"00:00.0",37,8,0,2,6,0,0,36,16,1,51,20584,81,8588,974,465
10040,13,2,"00:00.0",38,11,0,3,8,0,0,30,19,1,51,20584,81,8588,974,465
10040,13,3,"00:00.0",39,19,11,12,7,10,1,31,18,1,51,20584,81,8588,974,465
10040,14,5,"00:00.0",41,9,3,2,7,0,3,49,56,2,57,22049,87,9528,977,549
10040,14,4,"00:00.0",40,19,17,7,12,6,11,40,49,2,57,22049,87,9528,977,549
10040,14,6,"00:00.0",42,6,0,3,3,0,0,34,16,2,57,22049,87,9528,977,549
10040,15,9,"00:00.0",45,7,0,6,1,0,0,31,18,1,57,22363,87,9567,977,629
10040,15,8,"00:00.0",44,12,0,8,4,0,0,40,17,3,57,22363,87,9567,977,629
10040,15,7,"00:00.0",43,9,0,8,1,0,0,32,12,2,57,22363,87,9567,977,629
10040,16,12,"00:00.0",48,8,0,4,4,0,0,49,10,1,57,22764,87,9604,981,725
10040,16,11,"00:00.0",47,4,0,4,0,0,0,27,11,1,57,22764,87,9604,981,725
10040,16,10,"00:00.0",46,5,0,2,3,0,0,48,15,1,57,22764,87,9604,981,725
10040,9,-12,"00:00.0",25,23,17,17,6,16,1,16,2,2,43,14030,41,4643,544,189
10040,9,-10,"00:00.0",27,12,1,3,9,1,0,15,1,2,43,14030,41,4643,544,189
10040,9,-11,"00:00.0",26,11,8,9,2,8,0,9,1,1,43,14030,41,4643,544,189
10146,10,8,"00:00.0",30,4,0,2,2,0,0,6,5,1,36,1726,27,1425,597,160
10146,10,7,"00:00.0",29,3,0,1,2,0,0,11,3,2,36,1726,27,1425,597,160
10146,10,6,"00:00.0",28,9,0,1,8,0,0,7,4,2,36,1726,27,1425,597,160
10146,11,10,"00:00.0",32,7,1,3,4,1,0,13,8,2,36,1903,27,1508,599,205
10146,11,9,"00:00.0",31,5,0,2,3,0,0,6,37,3,36,1903,27,1508,599,205
10146,11,11,"00:00.0",33,8,0,3,5,0,0,12,2,2,36,1903,27,1508,599,205
10146,12,12,"00:00.0",34,5,0,0,5,0,0,2,0,1,36,1903,27,1510,601,262
10146,4,-11,"00:00.0",12,2,0,1,1,0,0,2,0,2,4,517,14,1148,23,7
10146,4,-12,"00:00.0",11,1,0,1,0,0,0,5,0,1,4,517,14,1148,23,7
10146,5,-8,"00:00.0",15,4,0,1,3,0,0,12,2,4,5,679,24,1601,28,16
10146,5,-9,"00:00.0",14,10,0,4,6,0,0,5,0,4,5,679,24,1601,28,16
10146,5,-10,"00:00.0",13,10,1,3,7,1,0,6,2,3,5,679,24,1601,28,16
10146,6,-6,"00:00.0",17,3,0,0,3,0,0,5,0,2,29,1615,24,1648,38,30
10146,6,-5,"00:00.0",18,4,0,1,3,0,0,12,1,2,29,1615,24,1648,38,30
10146,6,-7,"00:00.0",16,4,0,3,1,0,0,5,0,2,29,1615,24,1648,38,30
10146,7,-4,"00:00.0",19,5,0,2,3,0,0,3,0,2,29,1621,25,1669,187,47
10146,7,-2,"00:00.0",21,5,0,2,3,0,0,3,0,2,29,1621,25,1669,187,47
10146,7,-3,"00:00.0",20,10,0,6,4,0,0,5,1,1,29,1621,25,1669,187,47
10146,8,-1,"00:00.0",22,6,0,1,5,0,0,5,0,2,29,1621,25,1667,369,93
10146,8,1,"00:00.0",23,7,0,4,3,0,0,4,0,2,29,1621,25,1667,369,93
10146,8,2,"00:00.0",24,6,1,3,3,1,0,2,0,3,29,1621,25,1667,369,93
10146,9,5,"00:00.0",27,8,0,3,5,0,0,8,2,1,37,1665,25,1289,518,122
10146,9,4,"00:00.0",26,2,0,1,1,0,0,1,0,2,37,1665,25,1289,518,122
101993,1,-10,"00:00.0",1,10,1,9,1,1,0,13,11,1,10,584,67,2623,251,5
101993,1,-9,"00:00.0",2,3,0,3,0,0,0,14,17,1,10,584,67,2623,251,5
101993,1,-8,"00:00.0",3,12,0,12,0,0,0,12,10,1,10,584,67,2623,251,5
101993,2,-7,"00:00.0",4,5,0,4,1,0,0,4,4,1,10,569,69,2859,273,18
101993,2,-6,"00:00.0",5,4,0,3,1,0,0,8,6,1,10,569,69,2859,273,18
101993,2,-5,"00:00.0",6,9,1,8,1,1,0,13,12,1,10,569,69,2859,273,18
101993,3,-3,"00:00.0",8,11,1,8,3,1,0,16,12,1,10,588,69,2893,295,30
101993,3,-2,"00:00.0",9,21,3,20,1,3,0,14,15,1,10,588,69,2893,295,30
101993,3,-4,"00:00.0",7,16,1,15,1,1,0,10,6,1,10,588,69,2893,295,30
101993,4,-1,"00:00.0",10,7,0,3,4,0,0,8,5,2,10,605,78,3165,309,45
101993,4,1,"00:00.0",11,27,20,22,5,17,3,30,30,4,10,605,78,3165,309,45
101993,4,2,"00:00.0",12,4,2,3,1,1,1,5,21,4,10,605,78,3165,309,45
101993,5,4,"00:00.0",14,26,18,22,4,16,2,23,21,4,10,650,90,3728,340,60
101993,5,5,"00:00.0",15,13,7,12,1,7,0,8,5,3,10,650,90,3728,340,60
101993,5,3,"00:00.0",13,10,8,7,3,5,3,10,6,4,10,650,90,3728,340,60
101993,6,6,"00:00.0",16,6,0,4,2,0,0,5,3,3,10,638,110,4263,365,80
101993,6,8,"00:00.0",18,20,4,19,1,3,1,18,17,5,10,638,110,4263,365,80
101993,6,7,"00:00.0",17,18,4,16,2,3,1,11,7,4,10,638,110,4263,365,80
101993,7,9,"00:00.0",19,15,4,13,2,3,1,15,9,5,10,638,108,4430,367,102
101993,7,10,"00:00.0",20,16,0,15,1,0,0,17,17,5,10,638,108,4430,367,102
101993,7,11,"00:00.0",21,22,11,21,1,11,0,25,21,5,10,638,108,4430,367,102
101993,8,12,"00:00.0",22,46,36,42,4,34,2,40,33,3,11,883,101,4630,370,121
1028984,1,-10,"00:00.0",3,2,0,1,1,0,0,1,0,1,28,2562,2,202,81,3
1028984,2,-9,"00:00.0",4,5,0,4,1,0,0,8,0,1,34,1784,20,9042,86,17
1028984,2,-8,"00:00.0",5,6,0,4,2,0,0,6,1,1,34,1784,20,9042,86,17
1028984,2,-7,"00:00.0",6,15,0,7,8,0,0,25,0,1,34,1784,20,9042,86,17
1028984,3,-5,"00:00.0",8,12,0,4,8,0,0,13,0,1,39,2556,22,9293,91,97
1028984,3,-4,"00:00.0",9,28,0,2,26,0,0,10,0,1,39,2556,22,9293,91,97
1028984,3,-6,"00:00.0",7,15,0,6,9,0,0,17,1,1,39,2556,22,9293,91,97
1028984,4,-3,"00:00.0",10,29,0,2,27,0,0,16,1,1,44,2826,29,9437,97,213
1028984,4,-1,"00:00.0",12,17,0,3,14,0,0,6,3,1,44,2826,29,9437,97,213
1028984,4,-2,"00:00.0",11,19,0,0,19,0,0,11,1,1,44,2826,29,9437,97,213
1028984,5,1,"00:00.0",13,9,0,1,8,0,0,22,7,2,31,2812,3,229,375,301
1028984,5,2,"00:00.0",14,13,1,1,12,0,1,30,23,2,31,2812,3,229,375,301
1028984,5,3,"00:00.0",15,8,2,0,8,0,2,21,14,3,31,2812,3,229,375,301
1028984,6,4,"00:00.0",16,10,0,0,10,0,0,38,17,3,35,3121,3,229,521,416
1028984,6,5,"00:00.0",17,17,2,0,17,0,2,47,42,3,35,3121,3,229,521,416
1028984,6,6,"00:00.0",18,7,2,0,7,0,2,22,17,4,35,3121,3,229,521,416
1028984,7,8,"00:00.0",20,12,0,0,12,0,0,23,14,4,35,3121,3,229,521,509
1028984,7,9,"00:00.0",21,8,0,0,8,0,0,16,17,3,35,3121,3,229,521,509
1028984,7,7,"00:00.0",19,5,0,0,5,0,0,10,5,3,35,3121,3,229,521,509
1028984,8,10,"00:00.0",22,10,0,0,10,0,0,12,11,3,35,3121,3,229,523,624
1028984,8,11,"00:00.0",23,4,0,0,4,0,0,25,15,3,35,3121,3,229,523,624
1028984,8,12,"00:00.0",24,13,1,0,13,0,1,28,31,4,35,3121,3,229,523,624
10505,10,-3,"00:00.0",29,7,0,2,5,0,0,12,5,3,65,1240,49,3601,1406,112
10505,10,-4,"00:00.0",28,7,1,1,6,0,1,9,19,3,65,1240,49,3601,1406,112
10505,10,-2,"00:00.0",30,7,1,0,7,0,1,7,13,3,65,1240,49,3601,1406,112
10505,11,-1,"00:00.0",31,7,1,1,6,1,0,9,8,2,66,1258,49,3609,1552,138
10505,11,1,"00:00.0",32,5,1,0,5,0,1,6,7,2,66,1258,49,3609,1552,138
