"proj_id","repo_name","owner_login","language","﻿Id","ci_age","n_issues","n_tag_issues","n_bug_issues","proj_age","n_star","n_fork","n_core_issues","n_core_bugs","Date"
1386,"statsmodels","statsmodels","Python",216,2,15,13,2,19,574,80,11,2,"2013-01-02 08:04:50.0"
1386,"statsmodels","statsmodels","Python",217,3,32,30,5,20,583,87,27,4,"2013-02-01 08:04:50.0"
1386,"statsmodels","statsmodels","Python",218,-9,16,12,2,9,375,23,16,2,"2012-03-08 08:04:50.0"
1386,"statsmodels","statsmodels","Python",219,-11,12,12,4,7,337,21,11,3,"2012-01-08 08:04:50.0"
1386,"statsmodels","statsmodels","Python",220,-6,29,26,2,12,437,40,23,1,"2012-06-06 08:04:50.0"
1386,"statsmodels","statsmodels","Python",221,-15,61,34,1,3,283,12,1,0,"2011-09-10 08:04:50.0"
1386,"statsmodels","statsmodels","Python",222,-13,10,7,1,5,315,17,7,1,"2011-11-09 08:04:50.0"
1386,"statsmodels","statsmodels","Python",223,4,33,29,3,21,592,96,27,3,"2013-03-03 08:04:50.0"
1386,"statsmodels","statsmodels","Python",224,-12,4,3,1,6,326,19,3,1,"2011-12-09 08:04:50.0"
1386,"statsmodels","statsmodels","Python",225,5,39,35,10,22,600,104,32,8,"2013-04-02 08:04:50.0"
1386,"statsmodels","statsmodels","Python",226,6,37,32,6,23,610,115,32,6,"2013-05-02 08:04:50.0"
1386,"statsmodels","statsmodels","Python",227,7,33,29,6,24,615,124,24,3,"2013-06-01 08:04:50.0"
1386,"statsmodels","statsmodels","Python",228,8,63,55,10,25,620,136,53,8,"2013-07-01 08:04:50.0"
1386,"statsmodels","statsmodels","Python",229,-14,20,14,3,4,296,13,15,3,"2011-10-10 08:04:50.0"
1386,"statsmodels","statsmodels","Python",230,-10,4,2,1,8,350,21,2,1,"2012-02-07 08:04:50.0"
1386,"statsmodels","statsmodels","Python",231,9,37,29,9,26,624,146,30,8,"2013-07-31 08:04:50.0"
1386,"statsmodels","statsmodels","Python",232,10,26,21,5,27,628,153,20,4,"2013-08-30 08:04:50.0"
3719,"flot","flot","JavaScript",985,-4,13,3,1,22,1338,261,1,0,"2012-11-16 06:48:51.0"
3719,"flot","flot","JavaScript",986,-5,763,755,560,21,1328,218,757,559,"2012-10-17 06:48:51.0"
3719,"flot","flot","JavaScript",987,-3,19,7,3,23,1435,311,6,1,"2012-12-16 06:48:51.0"
3719,"flot","flot","JavaScript",988,-22,2,0,0,4,642,13,0,0,"2011-05-26 06:48:51.0"
3719,"flot","flot","JavaScript",989,-8,2,0,0,18,1138,128,0,0,"2012-07-19 06:48:51.0"
3719,"flot","flot","JavaScript",990,-15,2,0,0,11,755,53,0,0,"2011-12-22 06:48:51.0"
3719,"flot","flot","JavaScript",991,-16,1,0,0,10,741,46,0,0,"2011-11-22 06:48:51.0"
3719,"flot","flot","JavaScript",992,-18,2,0,0,8,714,34,0,0,"2011-09-23 06:48:51.0"
3719,"flot","flot","JavaScript",993,-20,1,0,0,6,696,24,0,0,"2011-07-25 06:48:51.0"
3719,"flot","flot","JavaScript",994,-2,9,5,2,24,1489,333,2,0,"2013-01-15 06:48:51.0"
3719,"flot","flot","JavaScript",995,-1,13,1,0,25,1493,379,2,0,"2013-02-14 06:48:51.0"
3719,"flot","flot","JavaScript",996,1,22,13,5,26,1494,425,5,3,"2013-03-16 06:48:51.0"
3719,"flot","flot","JavaScript",997,2,20,14,7,27,1495,469,0,0,"2013-04-15 06:48:51.0"
3719,"flot","flot","JavaScript",998,3,17,8,2,28,1495,502,1,0,"2013-05-15 06:48:51.0"
3719,"flot","flot","JavaScript",999,4,17,6,3,29,1496,526,0,0,"2013-06-14 06:48:51.0"
3719,"flot","flot","JavaScript",1000,5,9,7,4,30,1496,554,0,0,"2013-07-14 06:48:51.0"
3719,"flot","flot","JavaScript",1001,6,12,12,2,31,1497,584,0,0,"2013-08-13 06:48:51.0"
3719,"flot","flot","JavaScript",1002,7,14,8,4,32,1498,619,0,0,"2013-09-12 06:48:51.0"
3719,"flot","flot","JavaScript",1003,8,11,3,1,33,1498,651,2,0,"2013-10-12 06:48:51.0"
3719,"flot","flot","JavaScript",1004,9,12,6,1,34,1498,687,3,1,"2013-11-11 06:48:51.0"
3719,"flot","flot","JavaScript",1005,10,10,7,4,35,1498,729,1,0,"2013-12-11 06:48:51.0"
3719,"flot","flot","JavaScript",1006,11,8,7,1,36,1498,756,2,0,"2014-01-10 06:48:51.0"
3719,"flot","flot","JavaScript",1007,12,11,4,2,37,1498,784,0,0,"2014-02-09 06:48:51.0"
3719,"flot","flot","JavaScript",1008,13,9,4,1,38,1498,817,0,0,"2014-03-11 06:48:51.0"
3719,"flot","flot","JavaScript",1009,14,14,7,2,39,1499,853,1,1,"2014-04-10 06:48:51.0"
3719,"flot","flot","JavaScript",1010,15,13,6,1,40,1535,872,1,1,"2014-05-10 06:48:51.0"
3719,"flot","flot","JavaScript",1011,16,12,6,1,41,1599,880,2,0,"2014-06-09 06:48:51.0"
3719,"flot","flot","JavaScript",1012,17,7,0,0,42,1695,882,0,0,"2014-07-09 06:48:51.0"
3719,"flot","flot","JavaScript",1013,18,8,0,0,43,1784,883,0,0,"2014-08-08 06:48:51.0"
3719,"flot","flot","JavaScript",1014,19,2,0,0,44,1882,886,0,0,"2014-09-07 06:48:51.0"
3719,"flot","flot","JavaScript",1015,20,12,0,0,45,1947,892,0,0,"2014-10-07 06:48:51.0"
3719,"flot","flot","JavaScript",1016,21,6,0,0,46,2038,897,0,0,"2014-11-06 06:48:51.0"
3918,"mrjob","Yelp","Python",583,-2,4,0,0,26,1060,95,1,0,"2012-12-01 09:35:21.0"
3918,"mrjob","Yelp","Python",584,-4,5,4,1,24,1031,86,4,0,"2012-10-02 09:35:21.0"
3918,"mrjob","Yelp","Python",585,-5,16,14,4,23,1014,82,9,1,"2012-09-02 09:35:21.0"
3918,"mrjob","Yelp","Python",586,-6,4,4,0,22,996,79,3,0,"2012-08-03 09:35:21.0"
3918,"mrjob","Yelp","Python",587,-7,14,12,4,21,968,71,11,4,"2012-07-04 09:35:21.0"
3918,"mrjob","Yelp","Python",588,-8,14,14,3,20,938,68,11,1,"2012-06-04 09:35:21.0"
3918,"mrjob","Yelp","Python",589,-9,8,8,3,19,904,64,7,2,"2012-05-05 09:35:21.0"
3918,"mrjob","Yelp","Python",590,-10,20,20,4,18,881,61,18,4,"2012-04-05 09:35:21.0"
3918,"mrjob","Yelp","Python",591,-11,22,16,6,17,849,52,14,6,"2012-03-06 09:35:21.0"
3918,"mrjob","Yelp","Python",592,-12,18,15,6,16,795,49,14,6,"2012-02-05 09:35:21.0"
3918,"mrjob","Yelp","Python",593,-13,9,9,5,15,764,45,8,4,"2012-01-06 09:35:21.0"
3918,"mrjob","Yelp","Python",594,-14,28,26,11,14,749,45,23,8,"2011-12-07 09:35:21.0"
3918,"mrjob","Yelp","Python",595,-15,37,34,7,13,733,41,33,7,"2011-11-07 09:35:21.0"
3918,"mrjob","Yelp","Python",596,-16,10,10,0,12,722,38,9,0,"2011-10-08 09:35:21.0"
3918,"mrjob","Yelp","Python",597,-17,9,5,1,11,698,35,6,1,"2011-09-08 09:35:21.0"
3918,"mrjob","Yelp","Python",598,-18,3,3,1,10,683,34,2,0,"2011-08-09 09:35:21.0"
3918,"mrjob","Yelp","Python",599,-19,9,9,2,9,666,34,9,2,"2011-07-10 09:35:21.0"
3918,"mrjob","Yelp","Python",600,-20,10,9,0,8,649,29,10,0,"2011-06-10 09:35:21.0"
3918,"mrjob","Yelp","Python",601,-21,10,9,3,7,630,25,8,2,"2011-05-11 09:35:21.0"
3918,"mrjob","Yelp","Python",602,-23,5,5,0,5,590,18,4,0,"2011-03-12 09:35:21.0"
3918,"mrjob","Yelp","Python",603,-25,4,4,1,3,547,15,2,1,"2011-01-11 09:35:21.0"
3918,"mrjob","Yelp","Python",604,-27,17,17,4,1,517,10,16,3,"2010-11-12 09:35:21.0"
3918,"mrjob","Yelp","Python",605,-28,39,39,9,1,517,10,39,9,"2010-11-12 09:35:21.0"
3918,"mrjob","Yelp","Python",606,-22,2,2,0,7,630,25,1,0,"2011-05-11 09:35:21.0"
3918,"mrjob","Yelp","Python",607,-24,7,7,3,4,566,18,6,2,"2011-02-10 09:35:21.0"
3918,"mrjob","Yelp","Python",608,-26,6,6,0,2,531,11,6,0,"2010-12-12 09:35:21.0"
3918,"mrjob","Yelp","Python",609,-1,4,0,0,28,1101,106,3,0,"2013-01-30 09:35:21.0"
3918,"mrjob","Yelp","Python",610,1,4,2,1,28,1101,106,1,1,"2013-01-30 09:35:21.0"
3918,"mrjob","Yelp","Python",611,2,5,2,2,29,1105,114,4,1,"2013-03-01 09:35:21.0"
3918,"mrjob","Yelp","Python",612,3,6,5,3,30,1117,131,1,0,"2013-03-31 09:35:21.0"
3918,"mrjob","Yelp","Python",613,4,7,3,2,31,1125,147,2,0,"2013-04-30 09:35:21.0"
3918,"mrjob","Yelp","Python",614,5,4,3,1,33,1133,172,1,0,"2013-06-29 09:35:21.0"
3918,"mrjob","Yelp","Python",615,6,17,13,1,33,1133,172,15,1,"2013-06-29 09:35:21.0"
3918,"mrjob","Yelp","Python",616,7,18,15,2,34,1136,182,15,2,"2013-07-29 09:35:21.0"
3918,"mrjob","Yelp","Python",617,8,35,32,4,35,1138,192,33,4,"2013-08-28 09:35:21.0"
3918,"mrjob","Yelp","Python",618,9,23,20,3,36,1142,201,18,1,"2013-09-27 09:35:21.0"
3918,"mrjob","Yelp","Python",619,10,17,13,2,37,1146,212,15,2,"2013-10-27 09:35:21.0"
3918,"mrjob","Yelp","Python",620,11,13,9,1,38,1150,225,11,1,"2013-11-26 09:35:21.0"
3918,"mrjob","Yelp","Python",621,12,10,7,3,39,1155,236,5,0,"2013-12-26 09:35:21.0"
3918,"mrjob","Yelp","Python",622,13,7,5,2,40,1159,250,6,2,"2014-01-25 09:35:21.0"
3918,"mrjob","Yelp","Python",623,14,9,2,1,41,1159,258,2,0,"2014-02-24 09:35:21.0"
3918,"mrjob","Yelp","Python",624,15,7,1,0,42,1159,266,1,0,"2014-03-26 09:35:21.0"
3918,"mrjob","Yelp","Python",625,16,7,0,0,43,1173,274,1,0,"2014-04-25 09:35:21.0"
3918,"mrjob","Yelp","Python",626,17,3,0,0,44,1179,286,1,0,"2014-05-25 09:35:21.0"
3918,"mrjob","Yelp","Python",627,18,6,0,0,45,1230,290,1,0,"2014-06-24 09:35:21.0"
3918,"mrjob","Yelp","Python",628,19,8,0,0,46,1265,292,0,0,"2014-07-24 09:35:21.0"
3918,"mrjob","Yelp","Python",629,20,4,0,0,47,1294,295,0,0,"2014-08-23 09:35:21.0"
3918,"mrjob","Yelp","Python",630,22,2,0,0,49,1338,298,0,0,"2014-10-22 09:35:21.0"
6368,"kuma","mozilla","Python",5,-17,1,0,0,21,303,48,0,0,"2012-11-01 12:48:06.0"
6368,"kuma","mozilla","Python",1,-2,27,26,8,35,336,203,26,8,"2013-12-26 12:48:06.0"
6368,"kuma","mozilla","Python",2,-22,1,0,0,15,230,12,0,0,"2012-05-05 12:48:06.0"
6368,"kuma","mozilla","Python",3,-19,1,0,0,18,272,23,0,0,"2012-08-03 12:48:06.0"
6368,"kuma","mozilla","Python",4,-18,2,0,0,20,300,36,0,0,"2012-10-02 12:48:06.0"
6368,"kuma","mozilla","Python",7,1,17,14,2,37,336,241,16,2,"2014-02-24 12:48:06.0"
6368,"kuma","mozilla","Python",8,2,16,11,2,38,336,265,13,1,"2014-03-26 12:48:06.0"
6368,"kuma","mozilla","Python",9,3,7,4,0,39,342,280,4,0,"2014-04-25 12:48:06.0"
6368,"kuma","mozilla","Python",6,-1,18,13,4,36,336,218,17,4,"2014-01-25 12:48:06.0"
6368,"kuma","mozilla","Python",11,5,19,16,6,41,368,288,17,6,"2014-06-24 12:48:06.0"
6368,"kuma","mozilla","Python",12,7,3,0,0,43,401,294,0,0,"2014-08-23 12:48:06.0"
6368,"kuma","mozilla","Python",10,4,5,5,3,40,359,287,5,3,"2014-05-25 12:48:06.0"
7106,"wdntemplates","unl","JavaScript",550,-16,1,0,0,13,11,8,0,0,"2012-12-09 06:19:04.0"
7106,"wdntemplates","unl","JavaScript",551,-17,8,4,0,11,11,8,6,0,"2012-10-10 06:19:04.0"
7106,"wdntemplates","unl","JavaScript",552,-18,6,3,2,10,11,8,4,2,"2012-09-10 06:19:04.0"
7106,"wdntemplates","unl","JavaScript",553,-19,6,3,2,9,11,8,3,1,"2012-08-11 06:19:04.0"
7106,"wdntemplates","unl","JavaScript",554,-20,6,3,1,8,11,7,4,1,"2012-07-12 06:19:04.0"
7106,"wdntemplates","unl","JavaScript",555,-24,34,29,4,4,7,5,34,4,"2012-03-14 06:19:04.0"
7106,"wdntemplates","unl","JavaScript",556,-28,151,150,32,1,7,3,151,32,"2011-12-15 06:19:04.0"
7106,"wdntemplates","unl","JavaScript",557,-21,3,3,2,7,9,5,3,2,"2012-06-12 06:19:04.0"
7106,"wdntemplates","unl","JavaScript",558,-22,4,4,1,6,9,5,4,1,"2012-05-13 06:19:04.0"
7106,"wdntemplates","unl","JavaScript",559,-23,3,0,0,5,7,5,3,0,"2012-04-13 06:19:04.0"
7106,"wdntemplates","unl","JavaScript",560,-25,18,13,1,3,7,4,17,1,"2012-02-13 06:19:04.0"
7106,"wdntemplates","unl","JavaScript",561,-26,7,5,0,2,7,3,7,0,"2012-01-14 06:19:04.0"
7106,"wdntemplates","unl","JavaScript",562,-27,6,6,2,1,7,3,6,2,"2011-12-15 06:19:04.0"
7106,"wdntemplates","unl","JavaScript",563,-15,6,3,0,13,11,8,4,0,"2012-12-09 06:19:04.0"
7106,"wdntemplates","unl","JavaScript",564,-14,4,1,0,14,11,9,2,0,"2013-01-08 06:19:04.0"
7106,"wdntemplates","unl","JavaScript",565,-13,2,2,0,15,11,9,2,0,"2013-02-07 06:19:04.0"
